date,count
2022-01-08,81101
2022-01-09,82944
2022-01-10,115999
2022-01-11,100861
2022-01-12,89903
2022-01-13,84081
2022-01-14,75146
2022-01-15,67729
2022-01-16,85502
2022-01-17,114645
2022-01-18,103111
2022-01-19,97225
2022-01-20,86825
2022-01-21,78926
2022-01-22,70432
2022-01-23,88489
2022-01-24,109199
2022-01-25,96919
2022-01-26,93174
2022-01-27,82691
2022-01-28,71668
2022-01-29,63005
2022-01-30,74830
2022-01-31,88366
2022-02-01,78294
2022-02-02,73824
2022-02-03,63973
2022-02-04,52447
2022-02-05,43201
2022-02-06,50094
2022-02-07,62555
2022-02-08,55387
2022-02-09,50977
2022-02-10,41313
2022-02-11,34929
2022-02-12,29043
2022-02-13,32317
2022-02-14,42418
2022-02-15,40125
2022-02-16,39417
2022-02-17,34142
2022-02-18,24918
2022-02-19,26423
2022-02-20,28398
2022-02-21,33015
2022-02-22,28000
2022-02-23,25991
2022-02-24,21861
2022-02-25,19524
2022-02-26,17596
2022-02-27,22157
2022-02-28,31842
2022-03-01,31844
2022-03-02,33343
2022-03-03,31515
2022-03-04,30591
2022-03-05,28501
2022-03-06,35910
2022-03-07,50959
2022-03-08,52322
2022-03-09,55466
2022-03-10,54270
2022-03-11,52241
2022-03-12,49147
2022-03-13,60254
2022-03-14,79472
2022-03-15,74055
2022-03-16,73914
2022-03-17,67660
2022-03-18,61875
2022-03-19,55196
2022-03-20,66891
2022-03-21,89861
2022-03-22,81812
2022-03-23,77552
2022-03-24,68571
2022-03-25,60225
2022-03-26,51765
2022-03-27,57971
2022-03-28,78871
2022-03-29,67409
2022-03-30,62726
2022-03-31,45854
2022-04-01,40319
2022-04-02,31593
2022-04-03,35599
2022-04-04,45116
2022-04-05,40375
2022-04-06,36872
2022-04-07,31724
2022-04-08,27375
2022-04-09,23002
2022-04-10,25635
2022-04-11,30588
2022-04-12,27369
2022-04-13,25499
2022-04-14,21429
2022-04-15,17300
2022-04-16,16087
2022-04-17,16261
2022-04-18,20559
2022-04-19,20573
2022-04-20,16964
2022-04-21,14511
2022-04-22,12520
2022-04-23,10571
2022-04-24,11863
2022-04-25,13393
2022-04-26,11291
2022-04-27,10111
2022-04-28,9045
2022-04-29,7985
2022-04-30,6863
2022-05-01,7715
2022-05-02,10339
2022-05-03,11141
2022-05-04,9771
2022-05-05,8590
2022-05-06,7491
2022-05-07,6352
2022-05-08,7660
2022-05-09,8872
2022-05-10,8151
2022-05-11,7262
2022-05-12,6373
2022-05-13,5783
2022-05-14,5137
2022-05-15,6728
2022-05-16,7878
2022-05-17,6828
2022-05-18,6381
2022-05-19,5771
2022-05-20,5036
2022-05-21,4239
2022-05-22,5148
2022-05-23,6241
2022-05-24,5587
2022-05-25,5183
2022-05-26,4816
2022-05-27,4492
2022-05-28,4151
2022-05-29,4686
2022-05-30,5923
2022-05-31,5730
2022-06-01,5708
2022-06-02,5079
2022-06-03,5567
2022-06-04,6277
2022-06-05,8347
2022-06-06,9788
2022-06-07,9479
2022-06-08,9942
2022-06-09,9580
2022-06-10,9140
2022-06-11,8461
2022-06-12,10717
2022-06-13,12946
2022-06-14,12648
2022-06-15,12375
2022-06-16,11902
2022-06-17,11629
2022-06-18,11630
2022-06-19,14521
2022-06-20,16902
2022-06-21,17526
2022-06-22,17749
2022-06-23,16682
2022-06-24,15610
2022-06-25,14473
2022-06-26,18024
2022-06-27,21882
2022-06-28,21862
2022-06-29,21704
2022-06-30,21505
2022-07-01,21051
2022-07-02,19580
2022-07-03,25168
2022-07-04,30375
2022-07-05,28104
2022-07-06,26729
2022-07-07,24038
2022-07-08,22165
2022-07-09,19347
2022-07-10,23041
2022-07-11,27185
2022-07-12,24368
2022-07-13,21635
2022-07-14,19333
2022-07-15,16613
2022-07-16,13673
2022-07-17,15694
2022-07-18,16907
2022-07-19,14852
2022-07-20,14523
2022-07-21,12771
2022-07-22,11169
2022-07-23,8907
2022-07-24,10214
2022-07-25,11920
2022-07-26,10477
2022-07-27,9428
2022-07-28,8327
2022-07-29,7581
2022-07-30,6612
2022-07-31,7668
2022-08-01,8804
2022-08-02,8156
2022-08-03,7413
2022-08-04,6523
2022-08-05,5855
2022-08-06,4851
2022-08-07,5892
2022-08-08,7221
2022-08-09,6458
2022-08-10,6000
2022-08-11,5445
2022-08-12,4779
2022-08-13,3973
2022-08-14,4781
2022-08-15,5606
2022-08-16,4844
2022-08-17,4418
2022-08-18,3985
2022-08-19,3492
2022-08-20,3058
2022-08-21,3546
2022-08-22,4572
2022-08-23,4074
2022-08-24,3908
2022-08-25,3260
2022-08-26,2995
2022-08-27,2605
2022-08-28,2881
2022-08-29,3936
2022-08-30,4470
2022-08-31,3974
2022-09-01,3760
2022-09-02,3237
2022-09-03,2969
2022-09-04,3758
2022-09-05,4381
2022-09-06,3940
2022-09-07,3747
2022-09-08,3248
2022-09-09,3099
2022-09-10,2861
2022-09-11,3890
2022-09-12,4758
2022-09-13,4601
2022-09-14,4453
2022-09-15,4200
2022-09-16,3728
2022-09-17,3186
2022-09-18,3941
2022-09-19,5700
2022-09-20,7198
2022-09-21,6936
2022-09-22,6292
2022-09-23,6004
2022-09-24,5308
2022-09-25,6736
2022-09-26,8042
2022-09-27,7648
2022-09-28,7806
2022-09-29,7352
2022-09-30,7096
2022-10-01,6563
2022-10-02,8623
2022-10-03,10879
2022-10-04,10243
2022-10-05,9542
2022-10-06,8818
2022-10-07,8333
2022-10-08,6581
2022-10-09,8013
2022-10-10,9835
2022-10-11,8776
2022-10-12,8121
2022-10-13,7562
2022-10-14,7342
2022-10-15,6005
2022-10-16,7256
2022-10-17,9302
2022-10-18,7661
2022-10-19,7028
2022-10-20,6075
2022-10-21,5758
2022-10-22,4525
2022-10-23,5011
2022-10-24,6146
2022-10-25,5181
2022-10-26,4923
2022-10-27,4368
2022-10-28,3915
2022-10-29,3226
2022-10-30,3827
2022-10-31,4632
2022-11-01,4089
2022-11-02,3596
2022-11-03,3260
2022-11-04,2757
2022-11-05,2374
2022-11-06,2917
2022-11-07,3878
2022-11-08,3377
2022-11-09,3185
2022-11-10,2805
2022-11-11,2561
2022-11-12,2172
2022-11-13,2646
2022-11-14,3492
2022-11-15,3155
2022-11-16,2931
2022-11-17,2698
2022-11-18,2500
2022-11-19,2204
2022-11-20,2612
2022-11-21,3549
2022-11-22,3450
2022-11-23,3238
2022-11-24,3006
2022-11-25,2637
2022-11-26,2304
2022-11-27,3152
2022-11-28,4235
2022-11-29,3966
2022-11-30,3606
2022-12-01,3206
2022-12-02,3273
2022-12-03,2480
2022-12-04,3409
2022-12-05,4842
2022-12-06,4755
2022-12-07,4636
2022-12-08,4089
2022-12-09,3821
2022-12-10,3282
2022-12-11,4220
2022-12-12,6350
2022-12-13,6467
2022-12-14,5947
2022-12-15,5541
2022-12-16,5515
2022-12-17,4259
2022-12-18,5176
2022-12-19,7942
2022-12-20,6357
2022-12-21,3852
2022-12-22,6240
2022-12-23,5221
2022-12-24,3776
2022-12-25,3381
2022-12-26,4497
2022-12-27,5975
2022-12-28,7609
2022-12-29,6951
2022-12-30,5522
2022-12-31,3889
2023-01-01,3338
2023-01-02,4636
2023-01-03,5737
2023-01-04,5007
2023-01-05,4167
2023-01-06,3412
2023-01-07,2416
2023-01-08,2500
2023-01-09,3211
2023-01-10,2801
2023-01-11,2373
2023-01-12,2204
2023-01-13,1904
2023-01-14,1327
2023-01-15,1673
2023-01-16,2306
2023-01-17,1987
2023-01-18,1901
2023-01-19,1808
2023-01-20,1699
2023-01-21,1399
2023-01-22,1747
2023-01-23,2381
2023-01-24,2548
2023-01-25,2422
2023-01-26,2338
2023-01-27,2266
2023-01-28,1800
2023-01-29,2249
2023-01-30,3268
2023-01-31,3279
2023-02-01,3214
2023-02-02,2955
2023-02-03,2751
2023-02-04,2221
2023-02-05,2616
2023-02-06,3619
2023-02-07,3391
2023-02-08,3333
2023-02-09,3043
2023-02-10,3050
2023-02-11,2395
2023-02-12,2920
2023-02-13,4547
2023-02-14,4356
2023-02-15,3894
2023-02-16,4004
2023-02-17,3779
2023-02-18,2906
2023-02-19,3435
2023-02-20,4552
2023-02-21,4326
2023-02-22,3855
2023-02-23,3474
2023-02-24,3112
2023-02-25,2529
2023-02-26,2901
2023-02-27,4317
2023-02-28,4147
2023-03-01,3973
2023-03-02,3565
2023-03-03,3419
2023-03-04,2572
2023-03-05,3155
